"Link of the Product","SKU","CampaignID","CampaignName","Keywords","Keywords Type","Current Bid","Adjust Bid","Ads Rank","Target Row Or Not","Max Bid"
"https://www.ebay.com.au/itm/186400088441","TXRW12V232",,"TX232","cordless ratchet","EXACT","0.6",,,"True",
"https://www.ebay.com.au/itm/186400088441","TXRW12V232",,"TX232","cordless electric ratchet wrench","EXACT","0.41",,,"True",
"https://www.ebay.com.au/itm/186400088441","TXRW12V232",,"TX232","cordless ratchet wrench","EXACT","0.3",,,"True",
"https://www.ebay.com.au/itm/186400077011","TXIW12V230",,"TX230","impact wrench brushless","PHRASE","1.5",,,"True",
"https://www.ebay.com.au/itm/186400077011","TXIW12V230",,"TX230","cordless impact wrench","EXACT","1.5",,,"True",
"https://www.ebay.com.au/itm/186400077011","TXIW12V230",,"TX230","3/8 impact wrench","EXACT","1.2",,,"True",
"https://www.ebay.com.au/itm/186400077011","TXIW12V230",,"TX230","12 volt impact wrench","EXACT","1.25",,,"True",
"https://www.ebay.com.au/itm/186400077011","TXIW12V230",,"TX230","3/8 cordless impact wrench","EXACT","1.65",,,"True",
"https://www.ebay.com.au/itm/186400077011","TXIW12V230",,"TX230","impact wrench cordless","EXACT","1.31",,,"True",
"https://www.ebay.com.au/itm/186400102039","TXBG120099",,"TX099","bench grinder","PHRASE","0.2",,,"True",
"https://www.ebay.com.au/itm/186400102039","TXBG120099",,"TX099","bench grinder machine","PHRASE","0.3",,,"True",
"https://www.ebay.com.au/itm/186400102039","TXBG120099",,"TX099","bench grinder polisher","PHRASE","0.23",,,"True",
"https://www.ebay.com.au/itm/186400102039","TXBG120099",,"TX099","bench grinder","EXACT","0.27",,,"True",
"https://www.ebay.com.au/itm/186400102039","TXBG120099",,"TX099","200mm bench grinder","EXACT","0.3",,,"True",
"https://www.ebay.com.au/itm/186400102039","TXBG120099",,"TX099","mini bench grinder","EXACT","0.3",,,"True",
"https://www.ebay.com.au/itm/186400059405","TXES3N1098",,"TX098","random orbital sander","PHRASE","1.42",,,"True",
"https://www.ebay.com.au/itm/186400059405","TXES3N1098",,"TX098","sander electric","PHRASE","1.4",,,"True",
"https://www.ebay.com.au/itm/186400059405","TXES3N1098",,"TX098","orbital sander","PHRASE","0.65",,,"True",
"https://www.ebay.com.au/itm/186400059405","TXES3N1098",,"TX098","sander","PHRASE","0.3",,,"True",
"https://www.ebay.com.au/itm/186400059405","TXES3N1098",,"TX098","sander","EXACT","0.4",,,"True",
"https://www.ebay.com.au/itm/186400059405","TXES3N1098",,"TX098","electric sander","EXACT","1",,,"True",
"https://www.ebay.com.au/itm/186400059405","TXES3N1098",,"TX098","mouse sander","EXACT","0.77",,,"True",
"https://www.ebay.com.au/itm/186400059405","TXES3N1098",,"TX098","electric detail sander","EXACT","1.7",,,"True",
"https://www.ebay.com.au/itm/186400059405","TXES3N1098",,"TX098","detail sander","EXACT","0.77",,,"True",
"https://www.ebay.com.au/itm/185487539412","MK012MK014",,"MK012MK014","hand tool sets","PHRASE","0.72",,,"True",
"https://www.ebay.com.au/itm/185487539412","MK012MK014",,"MK012MK014","pink tool kit","PHRASE","0.3",,,"True",
"https://www.ebay.com.au/itm/185296205249","MK001MK002",,"MK001MK002","cordless screwdriver","PHRASE","0.69",,,"True",
"https://www.ebay.com.au/itm/185296205249","MK001MK002",,"MK001MK002","cordless drill pink","EXACT","0.59",,,"True",
"https://www.ebay.com.au/itm/185296205249","MK001MK002",,"MK001MK002","lady cordless drill","EXACT","1.29",,,"True",
"https://www.ebay.com.au/itm/185296205249","MK001MK002",,"MK001MK002","power tools pink","EXACT","0.3",,,"True",
"https://www.ebay.com.au/itm/186366192767","TXSC450600",,"TX600","upholstery cleaner","PHRASE","0.28",,,"True",
"https://www.ebay.com.au/itm/186366192767","TXSC450600",,"TX600","spot cleaner","PHRASE","0.22",,,"True",
"https://www.ebay.com.au/itm/186366192767","TXSC450600",,"TX600","carpet cleaner","PHRASE","0.24",,,"True",
"https://www.ebay.com.au/itm/186366192767","TXSC450600",,"TX600","carpet spot cleaner","PHRASE","1.5",,,"True",
"https://www.ebay.com.au/itm/186366192767","TXSC450600",,"TX600","carpet cleaner","EXACT","1.35",,,"True",
"https://www.ebay.com.au/itm/186366192767","TXSC450600",,"TX600","upholstery cleaner","EXACT","1.25",,,"True",
"https://www.ebay.com.au/itm/186366192767","TXSC450600",,"TX600","carpet and upholstery cleaner","EXACT","0.8",,,"True",
